GSM_ID,Group
GSM372342,Psoriasis
GSM372352,Psoriasis
GSM372324,Psoriasis
GSM372322,Psoriasis
GSM372365,Psoriasis
GSM372295,Control
GSM372348,Psoriasis
GSM372288,Control
GSM372300,Control
GSM372360,Psoriasis
GSM372312,Psoriasis
GSM372294,Control
GSM372286,Control
GSM372316,Psoriasis
GSM372350,Psoriasis
GSM372334,Psoriasis
GSM372318,Psoriasis
GSM372304,Control
GSM372289,Control
GSM372325,Psoriasis
GSM372290,Control
GSM372356,Psoriasis
GSM372362,Psoriasis
GSM372354,Psoriasis
GSM372366,Psoriasis
GSM372305,Control
GSM372346,Psoriasis
GSM372338,Psoriasis
GSM372310,Psoriasis
GSM372302,Control
GSM372301,Control
GSM372340,Psoriasis
GSM372320,Psoriasis
GSM372303,Control
GSM372329,Psoriasis
GSM372298,Control
GSM372299,Control
GSM372344,Psoriasis
GSM372336,Psoriasis
GSM372297,Control
GSM372308,Psoriasis
GSM372291,Control
GSM372293,Control
GSM372358,Psoriasis
GSM372292,Control
GSM372327,Psoriasis
GSM372287,Control
GSM372306,Control
GSM372364,Psoriasis
GSM372333,Psoriasis
GSM372367,Psoriasis
GSM372296,Control
GSM372314,Psoriasis
GSM372331,Psoriasis
