Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Category
1,Response To Lipopolysaccharide (GO:0032496),9.918583173206598e-14,11.726431718061674,351.1102529477612,"['CD274', 'CXCL9', 'CXCL8', 'NOS2', 'WNT5A', 'CXCL1', 'SELE', 'CXCL2', 'CXCL10', 'CXCL11', 'SLPI', 'IL1B', 'TNIP3', 'ZC3H12A', 'CASP1', 'CCL2', 'GBP2', 'S100A9', 'S100A8']",1.2846658563984513e-10,0,0,GO_Biological_Process_2023
2,Neutrophil Chemotaxis (GO:0030593),1.3122225295183363e-13,21.226293103448278,629.6118421260647,"['CXCL9', 'CXCL8', 'CCL20', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'CCL8', 'CXCR2', 'CCL3', 'CCL2', 'S100A12', 'S100A9', 'S100A8']",1.2846658563984513e-10,0,0,GO_Biological_Process_2023
3,Granulocyte Chemotaxis (GO:0071621),2.4298765597394894e-13,20.143921683226182,585.0956305239544,"['CXCL9', 'CXCL8', 'CCL20', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'CCL8', 'CXCR2', 'CCL3', 'CCL2', 'S100A12', 'S100A9', 'S100A8']",1.58589943465664e-10,0,0,GO_Biological_Process_2023
4,Neutrophil Migration (GO:1990266),5.285162444144015e-13,18.86111111111111,533.1791454820044,"['CXCL9', 'CXCL8', 'CCL20', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'CCL8', 'CXCR2', 'CCL3', 'CCL2', 'S100A12', 'S100A9', 'S100A8']",2.5870870164084957e-10,0,0,GO_Biological_Process_2023
5,Cellular Response To Lipopolysaccharide (GO:0071222),2.8092605270678174e-12,12.654428341384863,336.58374825046496,"['LYN', 'CD274', 'CXCL9', 'CXCL8', 'WNT5A', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'IL1B', 'TNIP3', 'ZC3H12A', 'CASP1', 'CCL3', 'CCL2', 'GBP2']",1.1001064223997573e-09,0,0,GO_Biological_Process_2023
6,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),1.5075243319873998e-11,12.51082251082251,311.7442653803489,"['CD274', 'CXCL9', 'CXCL8', 'FZD5', 'WNT5A', 'CXCL1', 'CXCL2', 'CXCL10', 'CXCL11', 'IL1B', 'TNIP3', 'ZC3H12A', 'CASP1', 'CCL2', 'GBP2']",4.5589861299721775e-09,0,0,GO_Biological_Process_2023
7,Response To Type II Interferon (GO:0034341),1.6298724673036386e-11,16.394273268848888,407.2326701090821,"['GBP5', 'CCL20', 'STAT1', 'WNT5A', 'BST2', 'CCL8', 'KYNU', 'UBD', 'CASP1', 'CCL3', 'CCL2', 'GBP2', 'GBP1']",4.5589861299721775e-09,0,0,GO_Biological_Process_2023
8,Chemokine-Mediated Signaling Pathway (GO:0070098),8.73454538010007e-11,20.054394079555966,464.4828319722725,"['LYN', 'CXCL10', 'CXCL9', 'CXCL11', 'CXCL8', 'CCL8', 'CCL20', 'CCL3', 'CCL2', 'CXCL1', 'CXCL2']",2.1377799817794922e-08,0,0,GO_Biological_Process_2023
9,Inflammatory Response (GO:0006954),1.133383026813625e-10,7.5357396617876935,172.57329082485725,"['SERPINA3', 'CXCL9', 'CXCL8', 'NOS2', 'CCL20', 'WNT5A', 'FPR1', 'CXCL1', 'SELE', 'CXCL2', 'CXCL10', 'CXCL11', 'CCL8', 'IL1B', 'CXCR2', 'CCL3', 'CCL2', 'S100A9', 'S100A8']",2.465737740556753e-08,0,0,GO_Biological_Process_2023
10,Cellular Response To Chemokine (GO:1990869),1.296546361174456e-10,19.216843971631207,437.49349177228635,"['CXCL10', 'CXCL9', 'CXCL11', 'CXCL8', 'CCL8', 'CCL20', 'ZC3H12A', 'CCL3', 'CCL2', 'CXCL1', 'CXCL2']",2.5386377751795852e-08,0,0,GO_Biological_Process_2023
